Date,Particular,Thickness,Voucher No.,Quantity,Weight Per Piece,Weight,Rate,Value
2022-04-01,17MM DWR,17.0,AK002,5,38.080000000000005,190.40000000000003,2134.02,10670
2022-04-01,3.30MM DWR,3.3,AK002,16,7.392,118.272,479.03,7664
2022-04-01,17MM DWR,17.0,AK004,1,38.080000000000005,38.080000000000005,2134.02,2134
2022-04-02,3.30MM DWR,3.3,AK009,5,7.392,36.96,512.68,2563
2022-04-02,3.30MM DWR,3.3,AK012,20,7.392,147.84,479.03,9581
2022-04-04,11MM DWR,11.0,AK013,10,24.64,246.4,1449.91,14499
2022-04-04,17MM DWR,17.0,AK013,3,38.080000000000005,114.24000000000001,2134.02,6402
2022-04-04,5.50MM DWR,5.5,AK018,3,12.32,36.96,772.22,2317
2022-04-04,11MM DWR,11.0,AK019,18,24.64,443.52,1449.91,26098
2022-04-04,3.30MM DWR,3.3,AK019,15,7.392,110.88000000000001,479.03,7185
2022-04-04,3.30MM DIR,3.3,AK019,1,7.392,7.392,368.0,368
2022-04-04,5.50MM DWR,5.5,AK021,5,12.32,61.6,772.22,3861
2022-04-05,7.50MM DWR,7.5,AK023,3,16.8,50.400000000000006,975.69,2927
2022-04-05,3.30MM DIR,3.3,AK028,3,7.392,22.176000000000002,368.49,1105
2022-04-05,7.50MM DWR,7.5,AK031,5,16.8,84.0,975.69,4878
2022-04-05,11MM DWR,11.0,AK031,5,24.64,123.2,1449.91,7250
2022-04-05,17MM DWR,17.0,AK031,5,38.080000000000005,190.40000000000003,2134.02,10670
2022-04-05,17MM DWR,17.0,AK032,5,38.080000000000005,190.40000000000003,2134.02,10670
2022-04-05,11MM DWR,11.0,AK033,4,24.64,98.56,1449.91,5800
2022-04-05,5.50MM DWR,5.5,AK033,6,12.32,73.92,772.22,4633
2022-04-05,7.50MM DWR,7.5,AK033,2,16.8,33.6,975.69,1951
2022-04-05,3.30MM DWR,3.3,AK035,10,7.392,73.92,478.4,4784
2022-04-06,11MM DWR,11.0,AK038,4,24.64,98.56,1409.86,5639
2022-04-06,17MM DWR,17.0,AK040,5,38.080000000000005,190.40000000000003,2176.0,10880
2022-04-06,25MM DWR,25.0,AK040,10,56.00000000000001,560.0000000000001,3584.0,35840
2022-04-06,11MM DWR,11.0,AK040,2,24.64,49.28,1600.0,3200
2022-04-07,3.30MM DWR,3.3,AK042,10,7.392,73.92,448.59,4486
2022-04-07,11MM DWR,11.0,AK042,2,24.64,49.28,1409.86,2820
2022-04-07,17MM DWR,17.0,AK045,10,38.080000000000005,380.80000000000007,2134.02,21340
2022-04-07,17MM DWR,17.0,AK046,2,38.080000000000005,76.16000000000001,2134.02,4268
2022-04-09,3.30MM DWR,3.3,AK059,6,7.392,44.352000000000004,479.03,2874
2022-04-09,5.50MM DWR,5.5,AK059,10,12.32,123.2,772.22,7722
2022-04-11,17MM DWR,17.0,AK065,5,38.080000000000005,190.40000000000003,2134.02,10670
2022-04-11,5.50MM DWR,5.5,AK066,3,12.32,36.96,772.22,2317
2022-04-11,3.30MM DWR,3.3,AK068,5,7.392,36.96,512.0,2560
2022-04-12,3.30MM DWR,3.3,AK069,4,7.392,29.568,479.03,1916
2022-04-12,3.30MM DWR,3.3,AK071,15,7.392,110.88000000000001,479.03,7185
2022-04-12,11MM DWR,11.0,AK072,5,24.64,123.2,1449.91,7250
2022-04-12,17MM DWR,17.0,AK072,5,38.080000000000005,190.40000000000003,2134.02,10670
2022-04-12,5.50MM DWR,5.5,AK072,20,12.32,246.4,772.22,15444
2022-04-12,3.30MM DWR,3.3,AK072,50,7.392,369.6,479.03,23952
2022-04-12,3.30MM DIR,3.3,AK072,25,7.392,184.8,368.49,9212
2022-04-13,17MM DWR,17.0,AK076,5,38.080000000000005,190.40000000000003,2134.02,10670
2022-04-13,7.50MM DWR,7.5,AK076,5,16.8,84.0,975.69,4878
2022-04-13,11MM DWR,11.0,AK076,5,24.64,123.2,1449.91,7250
2022-04-13,11MM DWR,11.0,AK077,3,24.64,73.92,1449.91,4350
2022-04-13,25MM DWR,25.0,AK077,7,56.00000000000001,392.00000000000006,3473.38,24314
2022-04-14,17MM DWR,17.0,AK081,3,38.080000000000005,114.24000000000001,2134.02,6402
2022-04-14,3.30MM DWR,3.3,AK081,2,7.392,14.784,479.03,958
